economy_code,weight
AUS,0.018283510825270039133261
AUT,0.006124726968125920520648
AZE,0.002411941060144903545864
BEL,0.007339184922325452578969
BFA,0.000756079547743419636583
BGR,0.001984362991526957574752
BIH,0.000952782894323857106286
BMU,0.000065514968443652427604
BTN,0.000128867704238964782016
CAN,0.025633916430517736058393
CHE,0.007129236030368198626889
CHL,0.008148918569509809430998
COL,0.015733501082993353407107
CRI,0.001815446806809903711956
CYM,0.000062762801939661847000
CYP,0.000567175789650650209970
CZE,0.004884678313157507765260
DEU,0.055200002861932721773249
DNK,0.003634169574125714458780
ESP,0.024553710237542562021859
EST,0.000571491915543899073298
FIN,0.003352560989039503588587
FRA,0.040152453654771018931096
GBR,0.042602389537133931465753
GRC,0.005648208317222706775043
GTM,0.003656506542922573879802
HKG,0.007339315667573495566037
HND,0.001121290577113624444929
HRV,0.002077042887096439956895
HUN,0.003908841783383137940743
IRL,0.002514046521246260882698
IRQ,0.006005895227147704853534
ISL,0.000249321837896120284929
ISR,0.004509739837052742006129
ITA,0.034731610350592700031414
JPN,0.067028557770984978540211
KEN,0.004898850613383816684104
KGZ,0.000707582218482304727665
KOR,0.025316508264097080443544
LTU,0.001582845016278603616539
LUX,0.000586170217276300048014
LVA,0.000834194506352844206673
MEX,0.040216960589200293059684
MLT,0.000261791872811636437697
MNE,0.000246078818494806293841
MNG,0.000573967399501307779421
MSR,0.000002270978866034669007
MYS,0.015295101811165452400022
NLD,0.010288311041404993172783
NOR,0.003527508321157539261337
NZL,0.003018603509501559893867
PHL,0.016748276052598842465174
POL,0.021061963947283939524283
PRT,0.005513054477328488888674
ROU,0.009889594836539543407695
SRB,0.002291621617238798595885
SVK,0.002359807700737233655352
SVN,0.001058838487118940199843
SWE,0.006075800574736862662006
SWZ,0.000162909422656646301107
TUR,0.036541215123043183943186
USA,0.380060408785331122824055
