economy_code,economy_name,icp_participation_status,armilar_category,data_status,reason
ARM,Armenia,PARTICIPATING,CP12,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
ATG,Antigua and Barbuda,PARTICIPATING,CP04,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
ATG,Antigua and Barbuda,PARTICIPATING,CP06,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
ATG,Antigua and Barbuda,PARTICIPATING,CP09,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
ATG,Antigua and Barbuda,PARTICIPATING,CP10,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
ATG,Antigua and Barbuda,PARTICIPATING,CP12,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
BDI,Burundi,PARTICIPATING,CP04,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
BDI,Burundi,PARTICIPATING,CP06,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
BDI,Burundi,PARTICIPATING,CP09,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
BDI,Burundi,PARTICIPATING,CP10,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
BDI,Burundi,PARTICIPATING,CP12,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
BEN,Benin,PARTICIPATING,CP04,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
BEN,Benin,PARTICIPATING,CP06,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
BEN,Benin,PARTICIPATING,CP09,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
BEN,Benin,PARTICIPATING,CP10,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
BEN,Benin,PARTICIPATING,CP12,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
BGD,Bangladesh,PARTICIPATING,CP04,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
BGD,Bangladesh,PARTICIPATING,CP06,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
BGD,Bangladesh,PARTICIPATING,CP09,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
BGD,Bangladesh,PARTICIPATING,CP10,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
BGD,Bangladesh,PARTICIPATING,CP12,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
BHR,Bahrain,PARTICIPATING,CP04,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
BHR,Bahrain,PARTICIPATING,CP06,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
BHR,Bahrain,PARTICIPATING,CP09,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
BHR,Bahrain,PARTICIPATING,CP10,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
BHR,Bahrain,PARTICIPATING,CP12,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
BLR,Belarus,PARTICIPATING,CP02,UNAVAILABLE,MISSING_SOURCE90_ALCOHOL_OR_TOBACCO_NOMINAL_OR_PPP:1102100
BLZ,Belize,PARTICIPATING,CP04,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
BLZ,Belize,PARTICIPATING,CP06,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
BLZ,Belize,PARTICIPATING,CP09,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
BLZ,Belize,PARTICIPATING,CP10,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
BLZ,Belize,PARTICIPATING,CP12,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
BOL,Bolivia,PARTICIPATING,CP04,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
