official_page_name,normalized_name,economy_code,world_bank_name,mapping_method,status
Kazakhstan,kazakhstan,KAZ,Kazakhstan,NORMALIZED_EXACT,MAPPED
Kyrgyz Republic,kyrgyz republic,KGZ,Kyrgyz Republic,EXPLICIT_CODE_ALIAS,MAPPED
Moldova,moldova,MDA,Moldova,NORMALIZED_EXACT,MAPPED
Russian Federation,russian federation,RUT,Russian Federation,EXPLICIT_CODE_ALIAS,MAPPED
Tajikistan,tajikistan,TJK,Tajikistan,NORMALIZED_EXACT,MAPPED
Uzbekistan,uzbekistan,UZB,Uzbekistan,NORMALIZED_EXACT,MAPPED
Argentina,argentina,ARG,Argentina,NORMALIZED_EXACT,MAPPED
Bolivia,bolivia,BOL,Bolivia,NORMALIZED_EXACT,MAPPED
Brazil,brazil,BRA,Brazil,NORMALIZED_EXACT,MAPPED
Dominican Republic,dominican republic,DOM,Dominican Republic,NORMALIZED_EXACT,MAPPED
Ecuador,ecuador,ECU,Ecuador,NORMALIZED_EXACT,MAPPED
El Salvador,el salvador,SLV,El Salvador,NORMALIZED_EXACT,MAPPED
Guatemala,guatemala,GTM,Guatemala,NORMALIZED_EXACT,MAPPED
Honduras,honduras,HND,Honduras,NORMALIZED_EXACT,MAPPED
Nicaragua,nicaragua,NIC,Nicaragua,NORMALIZED_EXACT,MAPPED
Panama,panama,PAN,Panama,NORMALIZED_EXACT,MAPPED
Paraguay,paraguay,PRY,Paraguay,NORMALIZED_EXACT,MAPPED
Peru,peru,PER,Peru,NORMALIZED_EXACT,MAPPED
Uruguay,uruguay,URY,Uruguay,NORMALIZED_EXACT,MAPPED
Anguilla,anguilla,AIA,Anguilla,NORMALIZED_EXACT,MAPPED
Antigua and Barbuda,antigua and barbuda,ATG,Antigua and Barbuda,NORMALIZED_EXACT,MAPPED
Aruba,aruba,ABW,Aruba,NORMALIZED_EXACT,MAPPED
Belize,belize,BLZ,Belize,NORMALIZED_EXACT,MAPPED
Bermuda,bermuda,BMU,Bermuda,NORMALIZED_EXACT,MAPPED
Bonaire,bonaire,BON,Bonaire,EXPLICIT_CODE_ALIAS,MAPPED
Cayman Islands,cayman islands,CYM,Cayman Islands,NORMALIZED_EXACT,MAPPED
Curaçao,curacao,CUW,Curacao,EXPLICIT_CODE_ALIAS,MAPPED
Dominica,dominica,DMA,Dominica,NORMALIZED_EXACT,MAPPED
Grenada,grenada,GRD,Grenada,NORMALIZED_EXACT,MAPPED
Guyana,guyana,GUY,Guyana,NORMALIZED_EXACT,MAPPED
Jamaica,jamaica,JAM,Jamaica,NORMALIZED_EXACT,MAPPED
Montserrat,montserrat,MSR,Montserrat,NORMALIZED_EXACT,MAPPED
St. Kitts and Nevis,st kitts and nevis,KNA,St. Kitts and Nevis,NORMALIZED_EXACT,MAPPED
St. Lucia,st lucia,LCA,St. Lucia,NORMALIZED_EXACT,MAPPED
St. Vincent and the Grenadines,st vincent and the grenadines,VCT,St. Vincent and the Grenadines,NORMALIZED_EXACT,MAPPED
Suriname,suriname,SUR,Suriname,NORMALIZED_EXACT,MAPPED
