economy_code,source_id,direct_categories_compared,comparison_count,median_supplemental_to_source90_nominal_ratio,status
LTU,EUROSTAT_NAMA_10_CP18,CP01|CP03|CP05|CP07|CP08|CP11,6,0.9998207835421764865382468623,PASS_COMPATIBLE_SCALE
LTU,OECD_TABLE5A_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,0.9998207835421764865382468623,PASS_COMPATIBLE_SCALE
LTU,OECD_TABLE5_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,0.9998332656314811046079608265,PASS_COMPATIBLE_SCALE
LTU,UNDATA_SNA_TABLE32,CP01|CP03|CP05|CP07|CP08|CP11,6,0.9996927416209449915018804142,PASS_COMPATIBLE_SCALE
LUX,EUROSTAT_NAMA_10_CP18,CP01|CP03|CP05|CP07|CP08|CP11,6,1.026137185488371085602492665,PASS_COMPATIBLE_SCALE
LUX,OECD_TABLE5A_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,1.026137185488371085602492665,PASS_COMPATIBLE_SCALE
LUX,OECD_TABLE5_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,1.009592219466220451114683848,PASS_COMPATIBLE_SCALE
LUX,UNDATA_SNA_TABLE32,CP01|CP03|CP05|CP07|CP08|CP11,6,1.009710685673066882911045954,PASS_COMPATIBLE_SCALE
LVA,EUROSTAT_NAMA_10_CP18,CP01|CP03|CP05|CP07|CP08|CP11,6,1.008658263686138087616674843,PASS_COMPATIBLE_SCALE
LVA,OECD_TABLE5A_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,1.008658263686138087616674843,PASS_COMPATIBLE_SCALE
LVA,OECD_TABLE5_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,0.9999980602184530400591278621,PASS_COMPATIBLE_SCALE
LVA,UNDATA_SNA_TABLE32,CP01|CP03|CP05|CP07|CP08|CP11,6,0.9999210690100031564206725605,PASS_COMPATIBLE_SCALE
MAC,UNDATA_SNA_TABLE32,,0,0,NOT_TESTABLE_NO_DIRECT_OVERLAP
