economy_code,heading_code,ppp,nominal_expenditure,published_real_expenditure,calculated_real_expenditure,relative_error,tolerance,status
ABW,1000000,1.36395359039307,5.64054527363184,4.13543782820816,4.135437828208160259225695830,0.00000000000000006268397848029543706140845937,0.005,PASS
ABW,1101000,2.66849660873413,0.331409338847059,0.124193277129279,0.1241932771292790001781716365,0.000000000000000001434631894885358595225051725,0.005,PASS
ABW,1102000,2.63676500320435,0.0243830295616938,0.00924732751385206,0.009247327513852059656809822885,0.00000000000000003711236317746044124900165158,0.005,PASS
ABW,1102100,3.83811640739441,0.0192030931053725,0.0050032596896687,0.005003259689668699604346775663,0.00000000000000007907909020872728326963003372,0.005,PASS
ABW,1102200,2.06502246856689,0.00517993645632131,0.00250841651128191,0.002508416511281907158367731450,0.000000000000001132839086240028872620538041,0.005,PASS
ABW,1103000,1.6906373500824,0.0656996095104364,0.0388608529837781,0.03886085298377813888598680335,0.000000000000001000646764485133451620359088,0.005,PASS
ABW,1105000,1.78697001934052,0.234592913043354,0.131279713987552,0.1312797139875521503044079565,0.000000000000001144917241141703963627860516,0.005,PASS
ABW,1107000,1.76846933364868,0.401715422258958,0.227154304920937,0.2271543049209367010741863855,0.000000000000001315959271467664625066418918,0.005,PASS
ABW,1108000,1.49086546897888,0.222753759274469,0.1494123808683,0.1494123808682999213552369790,0.0000000000000005263604164792853870009734031,0.005,PASS
ABW,1111000,1.31366896629333,0.12169029465515,0.0926339114172068,0.09263391141720683288486143602,0.0000000000000003549980879886673866563794694,0.005,PASS
ABW,9020000,1.37673902511597,3.58746569979432,2.60577032709023,2.605770327090225989030380316,0.000000000000001539264446288674070472433060,0.005,PASS
ABW,9060000,0.894258081912994,1.21569216390999,1.35944218844451,1.359442188444509497927918077,0.0000000000000003693221279953632135512195079,0.005,PASS
ABW,9080000,0.960431396961212,0.407962489157225,0.424770046510361,0.4247700465103609899625593790,0.00000000000000002363029291604055356831029239,0.005,PASS
ABW,9100000,1.51344382762909,3.18847567580152,2.10676842945435,2.106768429454351363061565483,0.0000000000000006469916419983714059434673405,0.005,PASS
ABW,9110000,1.6410413980484,0.227826005620178,0.138830139136721,0.1388301391367206820859145194,0.000000000000002289950060249638861289400029,0.005,PASS
ABW,9120000,0.694116353988647,0.242122111327847,0.348820640713224,0.3488206407132242280146841702,0.0000000000000006536731418874313946860444696,0.005,PASS
ABW,9140000,1.27621221542358,0.350326367980089,0.274504791402435,0.2745047914024347905632267212,0.0000000000000007629621771219188529570712899,0.005,PASS
AFG,1000000,14.5879421234131,1251.172,85.7675461977544,85.76754619775436756890865482,0.0000000000000003781277742329664985777283386,0.005,PASS
AGO,1000000,174.090515136719,44541.0044537805,255.849690712909,255.8496907129086621141987007,0.000000000000001320641820429028311270425443,0.005,PASS
AGO,1101000,464.836303710938,13552.1482033359,29.1546682028592,29.15466820285922998831626270,0.000000000000001028593982069706561999779335,0.005,PASS
AGO,1102000,189.606185913086,874.295867858224,4.61111468303568,4.611114683035681238592939152,0.0000000000000002686103088497866328561751829,0.005,PASS
AGO,1102100,420.141479492188,853.484442959992,2.03142152017833,2.031421520178327131624320116,0.000000000000001412004181009265518857266846,0.005,PASS
AGO,1102200,65.1196060180664,20.8114248982318,0.319587696713921,0.3195876967139205485378339943,0.000000000000001412639380826435447630657154,0.005,PASS
AGO,1103000,238.327911376953,301.871870043565,1.26662407394704,1.266624073947038689284873247,0.000000000000001034809896411145847298915530,0.005,PASS
AGO,1105000,243.024276733398,778.004873589917,3.2013463183491,3.201346318349101934225720478,0.0000000000000006041913395597448146376061914,0.005,PASS
AGO,1107000,209.555023193359,895.973626454651,4.27560080785048,4.275600807850476117648775178,0.0000000000000009080247196355586094462887760,0.005,PASS
AGO,1108000,206.002883911133,416.596259890168,2.02228363011599,2.022283630115985557549365612,0.000000000000002196749540089586256921344357,0.005,PASS
AGO,1111000,185.775009155273,967.948461649642,5.21032654527078,5.210326545270784868249794681,0.0000000000000009343463893063918673649302359,0.005,PASS
AGO,9020000,181.260040283203,20484.3420667216,113.010799482978,113.0107994829781707762071171,0.000000000000001511149446764358001757371002,0.005,PASS
AGO,9060000,95.6748275756836,938.355241317755,9.80775471558043,9.807754715580425950680676947,0.0000000000000004128691469639142949373540920,0.005,PASS
AGO,9080000,92.9754104614258,445.626390905951,4.79294889578181,4.792948895781806408864057199,0.0000000000000007492539605338783319355648129,0.005,PASS
