economy_code,armilar_category,chosen_source_id,candidate_source_id,chosen_value_lcu,candidate_value_lcu,relative_difference,candidate_complete_proxy_set,candidate_missing_proxy_categories,selection_basis,status
AUT,CP04,OECD_TABLE5_T501,EUROSTAT_NAMA_10_CP18,49928640000.00,48068600000.0,0.03725396886436321918642286271,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,ALTERNATIVE_DIVERGENT
AUT,CP06,OECD_TABLE5_T501,EUROSTAT_NAMA_10_CP18,7923480000.00,8126200000.0,0.02494646944451281041569245158,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,ALTERNATIVE_DIVERGENT
AUT,CP09,OECD_TABLE5_T501,EUROSTAT_NAMA_10_CP18,17520800000.0,15018700000.0,0.1428074060545180585361399023,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,ALTERNATIVE_DIVERGENT
AUT,CP10,OECD_TABLE5_T501,EUROSTAT_NAMA_10_CP18,1851420000.00,1732300000.0,0.06433980404230266498147367966,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,ALTERNATIVE_DIVERGENT
AUT,CP12,OECD_TABLE5_T501,EUROSTAT_NAMA_10_CP18,20007440000.00,21362500000.0,0.06343171445289643066120538327,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,ALTERNATIVE_DIVERGENT
AUT,CP04,OECD_TABLE5_T501,OECD_TABLE5A_T501,49928640000.00,48068600000.0,0.03725396886436321918642286271,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,ALTERNATIVE_DIVERGENT
AUT,CP06,OECD_TABLE5_T501,OECD_TABLE5A_T501,7923480000.00,8126200000.0,0.02494646944451281041569245158,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,ALTERNATIVE_DIVERGENT
AUT,CP09,OECD_TABLE5_T501,OECD_TABLE5A_T501,17520800000.0,15018700000.0,0.1428074060545180585361399023,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,ALTERNATIVE_DIVERGENT
AUT,CP10,OECD_TABLE5_T501,OECD_TABLE5A_T501,1851420000.00,1732300000.0,0.06433980404230266498147367966,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,ALTERNATIVE_DIVERGENT
AUT,CP12,OECD_TABLE5_T501,OECD_TABLE5A_T501,20007440000.00,21362500000.0,0.06343171445289643066120538327,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,ALTERNATIVE_DIVERGENT
AZE,CP04,UNDATA_SNA_TABLE32,UNDATA_SNA_TABLE32,5215900000,5215900000,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
