economic_gap_rank,source_adjusted_priority_rank,economy_code,economy_name,categories_available,missing_categories,direct_categories_available,direct_real_expenditure_ppp_indicator,direct_expenditure_share_of_participant_indicator,cumulative_direct_expenditure_share_of_incomplete_economies,source_probe_class,source_probe_best_source_id,source_probe_retrieval_status,candidate_success_probability_assumption,integration_cost_assumption,development_priority_score,blocking_reason
76,,NAM,Namibia,7,CP04|CP06|CP09|CP10|CP12,7,8562278040.191888743704447733,0.0002702615823153749099912608896,0.4993224407214260368798240681,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
77,,TTO,Trinidad and Tobago,7,CP04|CP06|CP09|CP10|CP12,7,8542632364.164685860642878573,0.0002696414819794778419668789961,0.4995920822034055147217909471,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
78,,MUS,Mauritius,7,CP04|CP06|CP09|CP10|CP12,7,8410304473.781326704764770520,0.0002654646560376446516751354573,0.4998575468594431593734660826,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
79,,BWA,Botswana,7,CP04|CP06|CP09|CP10|CP12,7,8071025496.462943014697227375,0.0002547555815569993560399991085,0.5001123024410001587295060817,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
80,,TGO,Togo,7,CP04|CP06|CP09|CP10|CP12,7,7400258407.686903592990520143,0.0002335833451583753218444548320,0.5003458857861585340513505365,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
81,,MWI,Malawi,7,CP04|CP06|CP09|CP10|CP12,7,7161809949.339667236736746845,0.0002260569068260665493461350714,0.5005719426929846006006966716,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
82,,COG,"Congo, Rep.",7,CP04|CP06|CP09|CP10|CP12,7,7047366054.954332371590762175,0.0002224445751734703805160144440,0.5007943872681580709812126860,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
83,,GAB,Gabon,7,CP04|CP06|CP09|CP10|CP12,7,5990348642.102381907054175024,0.0001890806506207622236338299544,0.5009834679187788332048465160,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
84,,SLE,Sierra Leone,7,CP04|CP06|CP09|CP10|CP12,7,5775256875.620372508466183476,0.0001822914479249882600124223428,0.5011657593667038214648589383,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
85,,MRT,Mauritania,7,CP04|CP06|CP09|CP10|CP12,7,5763011958.479059982185207376,0.0001819049467314510298990754357,0.5013476643134352724947580137,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
86,,GNQ,Equatorial Guinea,7,CP04|CP06|CP09|CP10|CP12,7,5687958582.198149760408469645,0.0001795359458491419755993924423,0.5015272002592844144703574061,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
87,,GUY,Guyana,7,CP04|CP06|CP09|CP10|CP12,7,3962983697.308909988625080563,0.0001250884682437546391607063805,0.5016522887275281691095181125,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
88,14,LBR,Liberia,7,CP04|CP06|CP09|CP10|CP12,7,3707060091.091906165386617761,0.0001170104405923056691309787003,0.5017692991681204747786490912,D_UNAVAILABLE,LBR_LISGIS_HIES_PORTAL,CONTENT_VALIDATION_FAILED,0.01,LOW,0.000001170104405923056691309787003,SOURCE_CONTENT_NOT_VALIDATED:INVALID_PDF_SIGNATURE
89,,BDI,Burundi,7,CP04|CP06|CP09|CP10|CP12,7,3590470495.747609144119981852,0.0001133303815739754469461770189,0.5018826295496944502255952682,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
90,,FJI,Fiji,7,CP04|CP06|CP09|CP10|CP12,7,3252058156.213186348503367192,0.0001026486618344035108379938172,0.5019852782115288537364332620,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
91,,BRN,Brunei Darussalam,7,CP04|CP06|CP09|CP10|CP12,7,2965610066.116072572170224777,0.00009360715282039255264544205181,0.5020788853643492462890787041,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.00000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
92,,GMB,"Gambia, The",7,CP04|CP06|CP09|CP10|CP12,7,2840957902.065325546461289800,0.00008967260515244090679366086367,0.5021685579695016871958723650,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.00000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
93,,CAF,Central African Republic,7,CP04|CP06|CP09|CP10|CP12,7,2279758966.622866955540294028,0.00007195880146907164856187293432,0.5022405167709707588444342379,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.00000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
94,,LSO,Lesotho,7,CP04|CP06|CP09|CP10|CP12,7,2089022178.721969903781858435,0.00006593834454605712381652206858,0.5023064551155168159682507600,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.00000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
95,,DJI,Djibouti,7,CP04|CP06|CP09|CP10|CP12,7,1939138916.141754647832255302,0.00006120739706719996889859359882,0.5023676625125840159371493536,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.00000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
96,,MDV,Maldives,7,CP04|CP06|CP09|CP10|CP12,7,1795273196.064940700862152451,0.00005666638859183992687216471303,0.5024243289011758558640215183,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.00000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
97,,SUR,Suriname,7,CP04|CP06|CP09|CP10|CP12,7,1696650111.507739937627326655,0.00005355342837726427964709955845,0.5024778823295531201436686179,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.00000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
98,,GNB,Guinea-Bissau,7,CP04|CP06|CP09|CP10|CP12,7,1535481583.105453960905280205,0.00004846627034514014621265200441,0.5025263485998982602898812699,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.00000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
99,,CUW,Curacao,7,CP04|CP06|CP09|CP10|CP12,7,1236713762.557712573439830022,0.00003903589871423489868206653527,0.5025653844986124951885633364,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.00000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
100,,CPV,Cabo Verde,7,CP04|CP06|CP09|CP10|CP12,7,1155099040.312826441126074031,0.00003645979409924876495302229401,0.5026018442927117439535163587,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.00000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
101,,BLZ,Belize,7,CP04|CP06|CP09|CP10|CP12,7,1038508200.375379626916625783,0.00003277969579631315819712159757,0.5026346239885080571117134803,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.00000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
102,,COM,Comoros,7,CP04|CP06|CP09|CP10|CP12,7,963667500.7107102241110223038,0.00003041740788437915088123951288,0.5026650413963924362625947198,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.00000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
103,,ABW,Aruba,7,CP04|CP06|CP09|CP10|CP12,7,771046117.5080033514455657040,0.00002433746519065029073860741928,0.5026893788615830865533333272,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.00000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
104,,SYC,Seychelles,7,CP04|CP06|CP09|CP10|CP12,7,685040805.1074558153527056971,0.00002162277504536517057142515955,0.5027110016366284517239047524,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.00000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
105,,LCA,St. Lucia,7,CP04|CP06|CP09|CP10|CP12,7,656817190.1031259669541832835,0.00002073191880197702705415877262,0.5027317335554304287509589112,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.00000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
106,,GRD,Grenada,7,CP04|CP06|CP09|CP10|CP12,7,621479471.1210234431256103700,0.00001961651145329146000563509668,0.5027513500668837202109645463,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.00000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
107,,ATG,Antigua and Barbuda,7,CP04|CP06|CP09|CP10|CP12,7,457497674.6069755487743143732,0.00001444055482250080588064687000,0.5027657906217062210168451932,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.00000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
108,,VCT,St. Vincent and the Grenadines,7,CP04|CP06|CP09|CP10|CP12,7,403047934.7389745317953787645,0.00001272189154336992686299107361,0.5027785125132495909437081843,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.00000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
109,,STP,Sao Tome and Principe,7,CP04|CP06|CP09|CP10|CP12,7,393062098.1451078315051020894,0.00001240669645323936788797778146,0.5027909192097028303115961621,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.00000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
110,,VGB,British Virgin Islands,7,CP04|CP06|CP09|CP10|CP12,7,344808215.2868965412174632888,0.00001088360053496798879080503156,0.5028018028102377983003869671,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.00000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
111,,KNA,St. Kitts and Nevis,7,CP04|CP06|CP09|CP10|CP12,7,338038666.0724561842125872182,0.00001066992503019362477367991603,0.5028124727352679919251606470,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.00000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
112,,DMA,Dominica,7,CP04|CP06|CP09|CP10|CP12,7,329765065.0529041667947782232,0.00001040877531133444653984592361,0.5028228815105793263717004929,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.00000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
113,,AIA,Anguilla,7,CP04|CP06|CP09|CP10|CP12,7,174325622.8991362026769763536,0.000005502451387548966550014797928,0.5028283839619668753382505077,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.000000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
114,15,BON,Bonaire,0,CP01|CP02|CP03|CP04|CP05|CP06|CP07|CP08|CP09|CP10|CP11|CP12,0,0,0,0.5028283839619668753382505077,D_UNAVAILABLE,BON_CBS_CPI_WEIGHTS,CONTENT_VALIDATION_FAILED,0.01,LOW,0,SOURCE_CONTENT_NOT_VALIDATED:INVALID_PDF_SIGNATURE
