economy_code,economy_name,armilar_category,value_lcu,currency,source_id,source_file,source_url,retrieved_at,source_hash,concept,classification,quality_flags,source_priority
AUT,Austria,CP09,17520800000.0,EUR,OECD_TABLE5_T501,/home/runner/work/armilar-data-pipeline/armilar-data-pipeline/run/raw/supplemental_nominal_hfce/OECD_TABLE5_T501/oecd_table5_t501.csv,"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.NAD,DSD_NAMAIN10@DF_TABLE5_T501,1.0/A...........?startPeriod=2021&endPeriod=2021",2026-06-28T22:22:06Z,e46dce7f39f5c14fa41a64b99ca4915118926ed6c5b7b99a399a91c50e5a131c,HOUSEHOLDS_S14_DOMESTIC_HFCE_P31DC_CURRENT_PRICES,COICOP1999,OFFICIAL_OECD|STRICT_HOUSEHOLD_NUMERATOR|DOMESTIC_CONCEPT|SOURCE_COMPONENT_CP09,10
AUT,Austria,CP10,1851420000.00,EUR,OECD_TABLE5_T501,/home/runner/work/armilar-data-pipeline/armilar-data-pipeline/run/raw/supplemental_nominal_hfce/OECD_TABLE5_T501/oecd_table5_t501.csv,"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.NAD,DSD_NAMAIN10@DF_TABLE5_T501,1.0/A...........?startPeriod=2021&endPeriod=2021",2026-06-28T22:22:06Z,e46dce7f39f5c14fa41a64b99ca4915118926ed6c5b7b99a399a91c50e5a131c,HOUSEHOLDS_S14_DOMESTIC_HFCE_P31DC_CURRENT_PRICES,COICOP1999,OFFICIAL_OECD|STRICT_HOUSEHOLD_NUMERATOR|DOMESTIC_CONCEPT|SOURCE_COMPONENT_CP10,10
AUT,Austria,CP11,18114600000.0,EUR,OECD_TABLE5_T501,/home/runner/work/armilar-data-pipeline/armilar-data-pipeline/run/raw/supplemental_nominal_hfce/OECD_TABLE5_T501/oecd_table5_t501.csv,"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.NAD,DSD_NAMAIN10@DF_TABLE5_T501,1.0/A...........?startPeriod=2021&endPeriod=2021",2026-06-28T22:22:06Z,e46dce7f39f5c14fa41a64b99ca4915118926ed6c5b7b99a399a91c50e5a131c,HOUSEHOLDS_S14_DOMESTIC_HFCE_P31DC_CURRENT_PRICES,COICOP1999,OFFICIAL_OECD|STRICT_HOUSEHOLD_NUMERATOR|DOMESTIC_CONCEPT|SOURCE_COMPONENT_CP11,10
AUT,Austria,CP12,20007440000.00,EUR,OECD_TABLE5_T501,/home/runner/work/armilar-data-pipeline/armilar-data-pipeline/run/raw/supplemental_nominal_hfce/OECD_TABLE5_T501/oecd_table5_t501.csv,"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.NAD,DSD_NAMAIN10@DF_TABLE5_T501,1.0/A...........?startPeriod=2021&endPeriod=2021",2026-06-28T22:22:06Z,e46dce7f39f5c14fa41a64b99ca4915118926ed6c5b7b99a399a91c50e5a131c,HOUSEHOLDS_S14_DOMESTIC_HFCE_P31DC_CURRENT_PRICES,COICOP1999,OFFICIAL_OECD|STRICT_HOUSEHOLD_NUMERATOR|DOMESTIC_CONCEPT|SOURCE_COMPONENT_CP12,10
BEL,Belgium,CP01,31353800000.0,EUR,OECD_TABLE5_T501,/home/runner/work/armilar-data-pipeline/armilar-data-pipeline/run/raw/supplemental_nominal_hfce/OECD_TABLE5_T501/oecd_table5_t501.csv,"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.NAD,DSD_NAMAIN10@DF_TABLE5_T501,1.0/A...........?startPeriod=2021&endPeriod=2021",2026-06-28T22:22:06Z,e46dce7f39f5c14fa41a64b99ca4915118926ed6c5b7b99a399a91c50e5a131c,HOUSEHOLDS_S14_DOMESTIC_HFCE_P31DC_CURRENT_PRICES,COICOP1999,OFFICIAL_OECD|STRICT_HOUSEHOLD_NUMERATOR|DOMESTIC_CONCEPT|SOURCE_COMPONENT_CP01,10
BEL,Belgium,CP02,10163700000.0,EUR,OECD_TABLE5_T501,/home/runner/work/armilar-data-pipeline/armilar-data-pipeline/run/raw/supplemental_nominal_hfce/OECD_TABLE5_T501/oecd_table5_t501.csv,"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.NAD,DSD_NAMAIN10@DF_TABLE5_T501,1.0/A...........?startPeriod=2021&endPeriod=2021",2026-06-28T22:22:06Z,e46dce7f39f5c14fa41a64b99ca4915118926ed6c5b7b99a399a91c50e5a131c,HOUSEHOLDS_S14_DOMESTIC_HFCE_P31DC_CURRENT_PRICES,COICOP1999,OFFICIAL_OECD|STRICT_HOUSEHOLD_NUMERATOR|DOMESTIC_CONCEPT|SOURCE_COMPONENT_CP02,10
BEL,Belgium,CP03,10199600000.0,EUR,OECD_TABLE5_T501,/home/runner/work/armilar-data-pipeline/armilar-data-pipeline/run/raw/supplemental_nominal_hfce/OECD_TABLE5_T501/oecd_table5_t501.csv,"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.NAD,DSD_NAMAIN10@DF_TABLE5_T501,1.0/A...........?startPeriod=2021&endPeriod=2021",2026-06-28T22:22:06Z,e46dce7f39f5c14fa41a64b99ca4915118926ed6c5b7b99a399a91c50e5a131c,HOUSEHOLDS_S14_DOMESTIC_HFCE_P31DC_CURRENT_PRICES,COICOP1999,OFFICIAL_OECD|STRICT_HOUSEHOLD_NUMERATOR|DOMESTIC_CONCEPT|SOURCE_COMPONENT_CP03,10
BEL,Belgium,CP04,59726000000,EUR,OECD_TABLE5_T501,/home/runner/work/armilar-data-pipeline/armilar-data-pipeline/run/raw/supplemental_nominal_hfce/OECD_TABLE5_T501/oecd_table5_t501.csv,"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.NAD,DSD_NAMAIN10@DF_TABLE5_T501,1.0/A...........?startPeriod=2021&endPeriod=2021",2026-06-28T22:22:06Z,e46dce7f39f5c14fa41a64b99ca4915118926ed6c5b7b99a399a91c50e5a131c,HOUSEHOLDS_S14_DOMESTIC_HFCE_P31DC_CURRENT_PRICES,COICOP1999,OFFICIAL_OECD|STRICT_HOUSEHOLD_NUMERATOR|DOMESTIC_CONCEPT|SOURCE_COMPONENT_CP04,10
BEL,Belgium,CP05,15708100000.0,EUR,OECD_TABLE5_T501,/home/runner/work/armilar-data-pipeline/armilar-data-pipeline/run/raw/supplemental_nominal_hfce/OECD_TABLE5_T501/oecd_table5_t501.csv,"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.NAD,DSD_NAMAIN10@DF_TABLE5_T501,1.0/A...........?startPeriod=2021&endPeriod=2021",2026-06-28T22:22:06Z,e46dce7f39f5c14fa41a64b99ca4915118926ed6c5b7b99a399a91c50e5a131c,HOUSEHOLDS_S14_DOMESTIC_HFCE_P31DC_CURRENT_PRICES,COICOP1999,OFFICIAL_OECD|STRICT_HOUSEHOLD_NUMERATOR|DOMESTIC_CONCEPT|SOURCE_COMPONENT_CP05,10
BEL,Belgium,CP06,16204200000.0,EUR,OECD_TABLE5_T501,/home/runner/work/armilar-data-pipeline/armilar-data-pipeline/run/raw/supplemental_nominal_hfce/OECD_TABLE5_T501/oecd_table5_t501.csv,"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.NAD,DSD_NAMAIN10@DF_TABLE5_T501,1.0/A...........?startPeriod=2021&endPeriod=2021",2026-06-28T22:22:06Z,e46dce7f39f5c14fa41a64b99ca4915118926ed6c5b7b99a399a91c50e5a131c,HOUSEHOLDS_S14_DOMESTIC_HFCE_P31DC_CURRENT_PRICES,COICOP1999,OFFICIAL_OECD|STRICT_HOUSEHOLD_NUMERATOR|DOMESTIC_CONCEPT|SOURCE_COMPONENT_CP06,10
BEL,Belgium,CP07,23214500000.0,EUR,OECD_TABLE5_T501,/home/runner/work/armilar-data-pipeline/armilar-data-pipeline/run/raw/supplemental_nominal_hfce/OECD_TABLE5_T501/oecd_table5_t501.csv,"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.NAD,DSD_NAMAIN10@DF_TABLE5_T501,1.0/A...........?startPeriod=2021&endPeriod=2021",2026-06-28T22:22:06Z,e46dce7f39f5c14fa41a64b99ca4915118926ed6c5b7b99a399a91c50e5a131c,HOUSEHOLDS_S14_DOMESTIC_HFCE_P31DC_CURRENT_PRICES,COICOP1999,OFFICIAL_OECD|STRICT_HOUSEHOLD_NUMERATOR|DOMESTIC_CONCEPT|SOURCE_COMPONENT_CP07,10
BEL,Belgium,CP08,5533800000.0,EUR,OECD_TABLE5_T501,/home/runner/work/armilar-data-pipeline/armilar-data-pipeline/run/raw/supplemental_nominal_hfce/OECD_TABLE5_T501/oecd_table5_t501.csv,"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.NAD,DSD_NAMAIN10@DF_TABLE5_T501,1.0/A...........?startPeriod=2021&endPeriod=2021",2026-06-28T22:22:06Z,e46dce7f39f5c14fa41a64b99ca4915118926ed6c5b7b99a399a91c50e5a131c,HOUSEHOLDS_S14_DOMESTIC_HFCE_P31DC_CURRENT_PRICES,COICOP1999,OFFICIAL_OECD|STRICT_HOUSEHOLD_NUMERATOR|DOMESTIC_CONCEPT|SOURCE_COMPONENT_CP08,10
BEL,Belgium,CP09,17981600000.0,EUR,OECD_TABLE5_T501,/home/runner/work/armilar-data-pipeline/armilar-data-pipeline/run/raw/supplemental_nominal_hfce/OECD_TABLE5_T501/oecd_table5_t501.csv,"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.NAD,DSD_NAMAIN10@DF_TABLE5_T501,1.0/A...........?startPeriod=2021&endPeriod=2021",2026-06-28T22:22:06Z,e46dce7f39f5c14fa41a64b99ca4915118926ed6c5b7b99a399a91c50e5a131c,HOUSEHOLDS_S14_DOMESTIC_HFCE_P31DC_CURRENT_PRICES,COICOP1999,OFFICIAL_OECD|STRICT_HOUSEHOLD_NUMERATOR|DOMESTIC_CONCEPT|SOURCE_COMPONENT_CP09,10
BEL,Belgium,CP10,875500000.0,EUR,OECD_TABLE5_T501,/home/runner/work/armilar-data-pipeline/armilar-data-pipeline/run/raw/supplemental_nominal_hfce/OECD_TABLE5_T501/oecd_table5_t501.csv,"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.NAD,DSD_NAMAIN10@DF_TABLE5_T501,1.0/A...........?startPeriod=2021&endPeriod=2021",2026-06-28T22:22:06Z,e46dce7f39f5c14fa41a64b99ca4915118926ed6c5b7b99a399a91c50e5a131c,HOUSEHOLDS_S14_DOMESTIC_HFCE_P31DC_CURRENT_PRICES,COICOP1999,OFFICIAL_OECD|STRICT_HOUSEHOLD_NUMERATOR|DOMESTIC_CONCEPT|SOURCE_COMPONENT_CP10,10
