economy_code,adapter_id,stage,error_type,error
EGY,EGY_CAPMAS_OFFICIAL_SOURCE_AUDIT,acquisition_or_validation:EGY_CAPMAS_CENTRAL_DATA_CATALOG,AcquisitionError,"Acquisition failed for EGY_CAPMAS_CENTRAL_DATA_CATALOG: attempt=1:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.censusinfo.capmas.gov.eg'. (_ssl.c:1016)>; attempt=2:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.censusinfo.capmas.gov.eg'. (_ssl.c:1016)>; attempt=3:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.censusinfo.capmas.gov.eg'. (_ssl.c:1016)>; attempt=4:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.censusinfo.capmas.gov.eg'. (_ssl.c:1016)>"
BGD,BGD_BBS_OFFICIAL_SOURCE_AUDIT,acquisition_or_validation:BGD_BBS_NSDS_PORTAL,AcquisitionError,Acquisition failed for BGD_BBS_NSDS_PORTAL: attempt=1:URLError:<urlopen error timed out>; attempt=2:URLError:<urlopen error timed out>; attempt=3:URLError:<urlopen error timed out>; attempt=4:URLError:<urlopen error timed out>
BGD,BGD_BBS_OFFICIAL_SOURCE_AUDIT,acquisition_or_validation:BGD_BBS_RELEASE_CALENDAR_NATIONAL_ACCOUNTS,AcquisitionError,Acquisition failed for BGD_BBS_RELEASE_CALENDAR_NATIONAL_ACCOUNTS: attempt=1:URLError:<urlopen error timed out>; attempt=2:URLError:<urlopen error timed out>; attempt=3:URLError:<urlopen error timed out>; attempt=4:URLError:<urlopen error timed out>
BGD,BGD_BBS_OFFICIAL_SOURCE_AUDIT,acquisition_or_validation:BGD_BBS_HIES_DOCUMENTATION,AcquisitionError,Acquisition failed for BGD_BBS_HIES_DOCUMENTATION: attempt=1:URLError:<urlopen error timed out>; attempt=2:URLError:<urlopen error timed out>; attempt=3:URLError:<urlopen error timed out>; attempt=4:URLError:<urlopen error timed out>
BGD,BGD_BBS_OFFICIAL_SOURCE_AUDIT,acquisition_or_validation:BGD_BBS_HIES_2022_FINAL_REPORT_PAGE,AcquisitionError,Acquisition failed for BGD_BBS_HIES_2022_FINAL_REPORT_PAGE: attempt=1:URLError:<urlopen error timed out>; attempt=2:URLError:<urlopen error timed out>; attempt=3:URLError:<urlopen error timed out>; attempt=4:URLError:<urlopen error timed out>
BGD,BGD_BBS_OFFICIAL_SOURCE_AUDIT,acquisition_or_validation:BGD_BBS_PORTAL,AcquisitionError,Acquisition failed for BGD_BBS_PORTAL: attempt=1:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1016)>; attempt=2:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1016)>; attempt=3:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1016)>; attempt=4:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1016)>
VNM,VNM_NSO_OFFICIAL_SOURCE_AUDIT,acquisition_or_validation:VNM_NSO_STATISTICAL_DATA_PORTAL,AcquisitionError,Acquisition failed for VNM_NSO_STATISTICAL_DATA_PORTAL: attempt=1:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)>; attempt=2:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)>; attempt=3:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)>; attempt=4:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)>
VNM,VNM_NSO_OFFICIAL_SOURCE_AUDIT,acquisition_or_validation:VNM_NSO_SOCIO_ECONOMIC_2021,AcquisitionError,Acquisition failed for VNM_NSO_SOCIO_ECONOMIC_2021: attempt=1:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)>; attempt=2:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)>; attempt=3:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)>; attempt=4:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)>
VNM,VNM_NSO_OFFICIAL_SOURCE_AUDIT,acquisition_or_validation:VNM_NSO_VHLSS_2022,AcquisitionError,Acquisition failed for VNM_NSO_VHLSS_2022: attempt=1:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)>; attempt=2:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)>; attempt=3:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)>; attempt=4:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)>
VNM,VNM_NSO_OFFICIAL_SOURCE_AUDIT,acquisition_or_validation:VNM_NSO_VHLSS_2020,AcquisitionError,Acquisition failed for VNM_NSO_VHLSS_2020: attempt=1:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)>; attempt=2:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)>; attempt=3:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)>; attempt=4:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)>
VNM,VNM_NSO_OFFICIAL_SOURCE_AUDIT,acquisition_or_validation:VNM_NSO_HOMEPAGE,AcquisitionError,Acquisition failed for VNM_NSO_HOMEPAGE: attempt=1:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)>; attempt=2:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)>; attempt=3:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)>; attempt=4:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)>
