economy_code,economy_name,icp_participation_status,eligible_complete_12_category_matrix,included_in_observed_research_weights,official_imputation_category_detail_available,participation_status_basis
EGY,"Egypt, Arab Rep.",PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
ERI,Eritrea,OFFICIALLY_IMPUTED_AGGREGATE_ONLY,false,false,false,SOURCE90_AGGREGATE_ONLY_NONPARTICIPANT
ESP,Spain,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
EST,Estonia,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
ETH,Ethiopia,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
FIN,Finland,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
FJI,Fiji,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
FRA,France,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
FRO,Faroe Islands,OFFICIALLY_IMPUTED_AGGREGATE_ONLY,false,false,false,SOURCE90_AGGREGATE_ONLY_NONPARTICIPANT
GAB,Gabon,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
GBR,United Kingdom,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
GEO,Georgia,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
GHA,Ghana,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
GIN,Guinea,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
GMB,"Gambia, The",PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
GNB,Guinea-Bissau,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
GNQ,Equatorial Guinea,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
GRC,Greece,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
GRD,Grenada,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
GRL,Greenland,OFFICIALLY_IMPUTED_AGGREGATE_ONLY,false,false,false,SOURCE90_AGGREGATE_ONLY_NONPARTICIPANT
GTM,Guatemala,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
GUY,Guyana,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
HIB,High income (Benchmark),AGGREGATE,false,false,,SOURCE90_AGGREGATE
HKG,"Hong Kong SAR, China",PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
HND,Honduras,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
HRV,Croatia,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
HTI,Haiti,OFFICIALLY_IMPUTED_AGGREGATE_ONLY,false,false,false,SOURCE90_AGGREGATE_ONLY_NONPARTICIPANT
HUN,Hungary,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
IDN,Indonesia,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
IND,India,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
IRL,Ireland,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
IRN,"Iran, Islamic Rep.",OFFICIALLY_IMPUTED_AGGREGATE_ONLY,false,false,false,SOURCE90_AGGREGATE_ONLY_NONPARTICIPANT
IRQ,Iraq,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
ISL,Iceland,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
