economy_code,economy_name,armilar_category,nominal_household_expenditure_lcu,ppp_lcu_per_international_dollar,real_expenditure_ppp,numerator_source_id,numerator_source_file,numerator_source_hash,ppp_source_heading,ppp_scope,derivation,quality_flags
AGO,Angola,CP11,967948461649.642000000000,185.775009155273,5210326545.270784868249794681,WORLD_BANK_ICP_2021_SOURCE90,raw/world_bank_icp_2021/data/1111000/page_0001.json,5808095da0497759e9af18ff6bd3270ad9bbea5334e3cb7613ea7bb184051ca9,1111000,STRICT_HFCE,DIRECT_SOURCE90_HFCE,OBSERVED_PARTICIPANT|STRICT_HFCE|NO_DOUBLE_COUNTING
AIA,Anguilla,CP01,147122216.137522000000000,3.96863055229187,37071280.43263171587359381420,WORLD_BANK_ICP_2021_SOURCE90,raw/world_bank_icp_2021/data/1101000/page_0001.json,82e3557962d2a937db6c3a3bfb4f7e2d1b239274b612b37e07afbe23e71f55bd,1101000,STRICT_HFCE,DIRECT_SOURCE90_HFCE,OBSERVED_PARTICIPANT|STRICT_HFCE|NO_DOUBLE_COUNTING
AIA,Anguilla,CP02,26866884.044679326000000000,3.526337892307314121610796775,7618919.362007049688771376352,WORLD_BANK_ICP_2021_SOURCE90,raw/world_bank_icp_2021/data/1102100/page_0001.json|raw/world_bank_icp_2021/data/1102200/page_0001.json,a8559c00c26318bdf8735f06d1f95a39a287275b83e0abe4e72f8d1468f670fb|017d2a7d67fc3e7ca16ec34ad465577f7be5d50dd440a8043988ec52f60819c1,1102100+1102200,STRICT_HFCE_COMPOSITE,ALCOHOL_PLUS_TOBACCO_EXCLUDING_NARCOTICS,OBSERVED_PARTICIPANT|STRICT_HFCE|NARCOTICS_EXCLUDED|NO_DOUBLE_COUNTING
AIA,Anguilla,CP03,35544325.7433025000000000,3.85715389251709,9215169.198267868374505516863,WORLD_BANK_ICP_2021_SOURCE90,raw/world_bank_icp_2021/data/1103000/page_0001.json,67312784b54abe10080b54d9d1e53ab8e11fb5a40934da427c6291d308accc4a,1103000,STRICT_HFCE,DIRECT_SOURCE90_HFCE,OBSERVED_PARTICIPANT|STRICT_HFCE|NO_DOUBLE_COUNTING
AIA,Anguilla,CP05,44815442.0825746000000000,2.68807077407837,16671972.52198093260227989604,WORLD_BANK_ICP_2021_SOURCE90,raw/world_bank_icp_2021/data/1105000/page_0001.json,7e43e4eeed0876023a091f8cc1e6be2b171e87a4f49b2b32e8511bda700f9167,1105000,STRICT_HFCE,DIRECT_SOURCE90_HFCE,OBSERVED_PARTICIPANT|STRICT_HFCE|NO_DOUBLE_COUNTING
AIA,Anguilla,CP07,184651191.728527000000000,2.85737133026123,64622749.50860012973737942142,WORLD_BANK_ICP_2021_SOURCE90,raw/world_bank_icp_2021/data/1107000/page_0001.json,87d4aa25927cc2fc205ea887c1a59af3a1d37883273de87054cb8204060064c4,1107000,STRICT_HFCE,DIRECT_SOURCE90_HFCE,OBSERVED_PARTICIPANT|STRICT_HFCE|NO_DOUBLE_COUNTING
AIA,Anguilla,CP08,33445826.913331000000000,2.1088433265686,15859796.92846708872410259526,WORLD_BANK_ICP_2021_SOURCE90,raw/world_bank_icp_2021/data/1108000/page_0001.json,5bc837a4848d76f53ad7e19dded198dd2938ad073a9684262529f1c9e105634d,1108000,STRICT_HFCE,DIRECT_SOURCE90_HFCE,OBSERVED_PARTICIPANT|STRICT_HFCE|NO_DOUBLE_COUNTING
AIA,Anguilla,CP11,46411796.4995354000000000,1.99485623836517,23265734.94718141767634373345,WORLD_BANK_ICP_2021_SOURCE90,raw/world_bank_icp_2021/data/1111000/page_0001.json,5808095da0497759e9af18ff6bd3270ad9bbea5334e3cb7613ea7bb184051ca9,1111000,STRICT_HFCE,DIRECT_SOURCE90_HFCE,OBSERVED_PARTICIPANT|STRICT_HFCE|NO_DOUBLE_COUNTING
ALB,Albania,CP01,600570842548.068000000000,86.5266876220703,6940874070.798023094498608669,WORLD_BANK_ICP_2021_SOURCE90,raw/world_bank_icp_2021/data/1101000/page_0001.json,82e3557962d2a937db6c3a3bfb4f7e2d1b239274b612b37e07afbe23e71f55bd,1101000,STRICT_HFCE,DIRECT_SOURCE90_HFCE,OBSERVED_PARTICIPANT|STRICT_HFCE|NO_DOUBLE_COUNTING
ALB,Albania,CP02,41158320640.1534000000000,57.19506835893234695304012667,719613103.3861342712881138446,WORLD_BANK_ICP_2021_SOURCE90,raw/world_bank_icp_2021/data/1102100/page_0001.json|raw/world_bank_icp_2021/data/1102200/page_0001.json,a8559c00c26318bdf8735f06d1f95a39a287275b83e0abe4e72f8d1468f670fb|017d2a7d67fc3e7ca16ec34ad465577f7be5d50dd440a8043988ec52f60819c1,1102100+1102200,STRICT_HFCE_COMPOSITE,ALCOHOL_PLUS_TOBACCO_EXCLUDING_NARCOTICS,OBSERVED_PARTICIPANT|STRICT_HFCE|NARCOTICS_EXCLUDED|NO_DOUBLE_COUNTING
ALB,Albania,CP03,51323599558.6848000000000,97.3291091918945,527320140.7555777095398951327,WORLD_BANK_ICP_2021_SOURCE90,raw/world_bank_icp_2021/data/1103000/page_0001.json,67312784b54abe10080b54d9d1e53ab8e11fb5a40934da427c6291d308accc4a,1103000,STRICT_HFCE,DIRECT_SOURCE90_HFCE,OBSERVED_PARTICIPANT|STRICT_HFCE|NO_DOUBLE_COUNTING
ALB,Albania,CP05,82530586394.0442000000000,94.1645126342773,876451054.4920701290802302158,WORLD_BANK_ICP_2021_SOURCE90,raw/world_bank_icp_2021/data/1105000/page_0001.json,7e43e4eeed0876023a091f8cc1e6be2b171e87a4f49b2b32e8511bda700f9167,1105000,STRICT_HFCE,DIRECT_SOURCE90_HFCE,OBSERVED_PARTICIPANT|STRICT_HFCE|NO_DOUBLE_COUNTING
ALB,Albania,CP07,78187639793.1676000000000,99.760871887207,783750565.8688426217449699701,WORLD_BANK_ICP_2021_SOURCE90,raw/world_bank_icp_2021/data/1107000/page_0001.json,87d4aa25927cc2fc205ea887c1a59af3a1d37883273de87054cb8204060064c4,1107000,STRICT_HFCE,DIRECT_SOURCE90_HFCE,OBSERVED_PARTICIPANT|STRICT_HFCE|NO_DOUBLE_COUNTING
ALB,Albania,CP08,26094196100.3112000000000,62.0911636352539,420256193.8377899905883215796,WORLD_BANK_ICP_2021_SOURCE90,raw/world_bank_icp_2021/data/1108000/page_0001.json,5bc837a4848d76f53ad7e19dded198dd2938ad073a9684262529f1c9e105634d,1108000,STRICT_HFCE,DIRECT_SOURCE90_HFCE,OBSERVED_PARTICIPANT|STRICT_HFCE|NO_DOUBLE_COUNTING
ALB,Albania,CP11,61536620789.0314000000000,45.1758651733398,1362156995.840929194655874361,WORLD_BANK_ICP_2021_SOURCE90,raw/world_bank_icp_2021/data/1111000/page_0001.json,5808095da0497759e9af18ff6bd3270ad9bbea5334e3cb7613ea7bb184051ca9,1111000,STRICT_HFCE,DIRECT_SOURCE90_HFCE,OBSERVED_PARTICIPANT|STRICT_HFCE|NO_DOUBLE_COUNTING
ARE,United Arab Emirates,CP01,83743996916.8478000000000,4.33943223953247,19298376445.17992748733759961,WORLD_BANK_ICP_2021_SOURCE90,raw/world_bank_icp_2021/data/1101000/page_0001.json,82e3557962d2a937db6c3a3bfb4f7e2d1b239274b612b37e07afbe23e71f55bd,1101000,STRICT_HFCE,DIRECT_SOURCE90_HFCE,OBSERVED_PARTICIPANT|STRICT_HFCE|NO_DOUBLE_COUNTING
ARE,United Arab Emirates,CP02,2046080882.01682000000000,3.089941751666131717702639426,662174580.1238971347596268529,WORLD_BANK_ICP_2021_SOURCE90,raw/world_bank_icp_2021/data/1102100/page_0001.json|raw/world_bank_icp_2021/data/1102200/page_0001.json,a8559c00c26318bdf8735f06d1f95a39a287275b83e0abe4e72f8d1468f670fb|017d2a7d67fc3e7ca16ec34ad465577f7be5d50dd440a8043988ec52f60819c1,1102100+1102200,STRICT_HFCE_COMPOSITE,ALCOHOL_PLUS_TOBACCO_EXCLUDING_NARCOTICS,OBSERVED_PARTICIPANT|STRICT_HFCE|NARCOTICS_EXCLUDED|NO_DOUBLE_COUNTING
