research_core_id,basket_version,economy_code,economy_name,category_code,raw_world_weight,fixed_universe_weight,covered_world_weight,normalization_rule,weight_source,weight_source_version,numerator_source_id,numerator_source_file,numerator_source_hash,ppp_source_heading,ppp_scope,derivation,quality_flags,rounding_residual_applied,evidence_class,status
ARMILAR_RESEARCH_CORE_V1,0.3.0-draft,DEU,Germany,CP11,0.001794170353790170503291,0.011203003668886026313977825,0.160150831582167491646292,FIXED_UNIVERSE_NORMALISE_ONCE,public/latest/weights_observed_universe.csv,0.9.4,WORLD_BANK_ICP_2021_SOURCE90,raw/world_bank_icp_2021/data/1111000/page_0001.json,5808095da0497759e9af18ff6bd3270ad9bbea5334e3cb7613ea7bb184051ca9,1111000,STRICT_HFCE,DIRECT_SOURCE90_HFCE,OBSERVED_PARTICIPANT|STRICT_HFCE|NO_DOUBLE_COUNTING,0,EXACT_OFFICIAL,RESEARCH_ONLY
ARMILAR_RESEARCH_CORE_V1,0.3.0-draft,DEU,Germany,CP12,0.008209149677429625994794,0.051258863886809190401088783,0.160150831582167491646292,FIXED_UNIVERSE_NORMALISE_ONCE,public/latest/weights_observed_universe.csv,0.9.4,OECD_TABLE5_T501,raw/supplemental_nominal_hfce/OECD_TABLE5_T501/oecd_table5_t501.csv,e46dce7f39f5c14fa41a64b99ca4915118926ed6c5b7b99a399a91c50e5a131c,9140000,ACTUAL_CONSUMPTION_PROXY_RATIFIED_OPTION_B,STRICT_S14_P31DC_NUMERATOR_DIVIDED_BY_ACTUAL_CONSUMPTION_PPP,OBSERVED_PARTICIPANT|STRICT_HOUSEHOLD_NUMERATOR|PROXY_PPP_ACTUAL_CONSUMPTION_RATIFIED|NO_GOVERNMENT_OR_NPISH_IN_NUMERATOR|NATIONAL_ACCOUNTS_CURRENT_VINTAGE_MAY_DIFFER_FROM_ICP_2021_VINTAGE,0,EXPERIMENTAL_RESEARCH,RESEARCH_ONLY
ARMILAR_RESEARCH_CORE_V1,0.3.0-draft,ESP,Spain,CP01,0.002847851690459320706583,0.017782309728427435111510250,0.160150831582167491646292,FIXED_UNIVERSE_NORMALISE_ONCE,public/latest/weights_observed_universe.csv,0.9.4,WORLD_BANK_ICP_2021_SOURCE90,raw/world_bank_icp_2021/data/1101000/page_0001.json,82e3557962d2a937db6c3a3bfb4f7e2d1b239274b612b37e07afbe23e71f55bd,1101000,STRICT_HFCE,DIRECT_SOURCE90_HFCE,OBSERVED_PARTICIPANT|STRICT_HFCE|NO_DOUBLE_COUNTING,0,EXACT_OFFICIAL,RESEARCH_ONLY
ARMILAR_RESEARCH_CORE_V1,0.3.0-draft,ESP,Spain,CP02,0.000886689574734099839486,0.005536590512670376518071449,0.160150831582167491646292,FIXED_UNIVERSE_NORMALISE_ONCE,public/latest/weights_observed_universe.csv,0.9.4,WORLD_BANK_ICP_2021_SOURCE90,raw/world_bank_icp_2021/data/1102100/page_0001.json|raw/world_bank_icp_2021/data/1102200/page_0001.json,a8559c00c26318bdf8735f06d1f95a39a287275b83e0abe4e72f8d1468f670fb|017d2a7d67fc3e7ca16ec34ad465577f7be5d50dd440a8043988ec52f60819c1,1102100+1102200,STRICT_HFCE_COMPOSITE,ALCOHOL_PLUS_TOBACCO_EXCLUDING_NARCOTICS,OBSERVED_PARTICIPANT|STRICT_HFCE|NARCOTICS_EXCLUDED|NO_DOUBLE_COUNTING,0,OFFICIAL_DETERMINISTIC_DERIVATION,RESEARCH_ONLY
ARMILAR_RESEARCH_CORE_V1,0.3.0-draft,ESP,Spain,CP03,0.000731320016866576620036,0.004566445329329203399016343,0.160150831582167491646292,FIXED_UNIVERSE_NORMALISE_ONCE,public/latest/weights_observed_universe.csv,0.9.4,WORLD_BANK_ICP_2021_SOURCE90,raw/world_bank_icp_2021/data/1103000/page_0001.json,67312784b54abe10080b54d9d1e53ab8e11fb5a40934da427c6291d308accc4a,1103000,STRICT_HFCE,DIRECT_SOURCE90_HFCE,OBSERVED_PARTICIPANT|STRICT_HFCE|NO_DOUBLE_COUNTING,0,EXACT_OFFICIAL,RESEARCH_ONLY
ARMILAR_RESEARCH_CORE_V1,0.3.0-draft,ESP,Spain,CP04,0.006951049329552203134588,0.043403142280818415880694505,0.160150831582167491646292,FIXED_UNIVERSE_NORMALISE_ONCE,public/latest/weights_observed_universe.csv,0.9.4,OECD_TABLE5_T501,raw/supplemental_nominal_hfce/OECD_TABLE5_T501/oecd_table5_t501.csv,e46dce7f39f5c14fa41a64b99ca4915118926ed6c5b7b99a399a91c50e5a131c,9060000,ACTUAL_CONSUMPTION_PROXY_RATIFIED_OPTION_B,STRICT_S14_P31DC_NUMERATOR_DIVIDED_BY_ACTUAL_CONSUMPTION_PPP,OBSERVED_PARTICIPANT|STRICT_HOUSEHOLD_NUMERATOR|PROXY_PPP_ACTUAL_CONSUMPTION_RATIFIED|NO_GOVERNMENT_OR_NPISH_IN_NUMERATOR|NATIONAL_ACCOUNTS_CURRENT_VINTAGE_MAY_DIFFER_FROM_ICP_2021_VINTAGE,0,EXPERIMENTAL_RESEARCH,RESEARCH_ONLY
ARMILAR_RESEARCH_CORE_V1,0.3.0-draft,ESP,Spain,CP05,0.000952136058496770817170,0.005945245797916852418805671,0.160150831582167491646292,FIXED_UNIVERSE_NORMALISE_ONCE,public/latest/weights_observed_universe.csv,0.9.4,WORLD_BANK_ICP_2021_SOURCE90,raw/world_bank_icp_2021/data/1105000/page_0001.json,7e43e4eeed0876023a091f8cc1e6be2b171e87a4f49b2b32e8511bda700f9167,1105000,STRICT_HFCE,DIRECT_SOURCE90_HFCE,OBSERVED_PARTICIPANT|STRICT_HFCE|NO_DOUBLE_COUNTING,0,EXACT_OFFICIAL,RESEARCH_ONLY
ARMILAR_RESEARCH_CORE_V1,0.3.0-draft,ESP,Spain,CP06,0.001469523299843797968559,0.009175870554814070393376997,0.160150831582167491646292,FIXED_UNIVERSE_NORMALISE_ONCE,public/latest/weights_observed_universe.csv,0.9.4,OECD_TABLE5_T501,raw/supplemental_nominal_hfce/OECD_TABLE5_T501/oecd_table5_t501.csv,e46dce7f39f5c14fa41a64b99ca4915118926ed6c5b7b99a399a91c50e5a131c,9080000,ACTUAL_CONSUMPTION_PROXY_RATIFIED_OPTION_B,STRICT_S14_P31DC_NUMERATOR_DIVIDED_BY_ACTUAL_CONSUMPTION_PPP,OBSERVED_PARTICIPANT|STRICT_HOUSEHOLD_NUMERATOR|PROXY_PPP_ACTUAL_CONSUMPTION_RATIFIED|NO_GOVERNMENT_OR_NPISH_IN_NUMERATOR|NATIONAL_ACCOUNTS_CURRENT_VINTAGE_MAY_DIFFER_FROM_ICP_2021_VINTAGE,0,EXPERIMENTAL_RESEARCH,RESEARCH_ONLY
ARMILAR_RESEARCH_CORE_V1,0.3.0-draft,ESP,Spain,CP07,0.001983283442661546587070,0.012383847296128443253299065,0.160150831582167491646292,FIXED_UNIVERSE_NORMALISE_ONCE,public/latest/weights_observed_universe.csv,0.9.4,WORLD_BANK_ICP_2021_SOURCE90,raw/world_bank_icp_2021/data/1107000/page_0001.json,87d4aa25927cc2fc205ea887c1a59af3a1d37883273de87054cb8204060064c4,1107000,STRICT_HFCE,DIRECT_SOURCE90_HFCE,OBSERVED_PARTICIPANT|STRICT_HFCE|NO_DOUBLE_COUNTING,0,EXACT_OFFICIAL,RESEARCH_ONLY
ARMILAR_RESEARCH_CORE_V1,0.3.0-draft,ESP,Spain,CP08,0.000806659688781574657533,0.005036874806158638576750327,0.160150831582167491646292,FIXED_UNIVERSE_NORMALISE_ONCE,public/latest/weights_observed_universe.csv,0.9.4,WORLD_BANK_ICP_2021_SOURCE90,raw/world_bank_icp_2021/data/1108000/page_0001.json,5bc837a4848d76f53ad7e19dded198dd2938ad073a9684262529f1c9e105634d,1108000,STRICT_HFCE,DIRECT_SOURCE90_HFCE,OBSERVED_PARTICIPANT|STRICT_HFCE|NO_DOUBLE_COUNTING,0,EXACT_OFFICIAL,RESEARCH_ONLY
