scope,economy_code,category_code,evidence_class,cell_count,central_expenditure,core_eligible_cells,global_eligible_cells
economy,HND,*,A_OFFICIAL_EXACT,6,20615065050.0039991,6,6
economy,HND,*,B_OFFICIAL_DETERMINISTIC,6,25655979833.4822435,6,6
economy,HRV,*,A_OFFICIAL_EXACT,6,30213989237.7610961,6,6
economy,HRV,*,B_OFFICIAL_DETERMINISTIC,6,55497017895.7861951,6,6
economy,HUN,*,A_OFFICIAL_EXACT,6,52949888232.7926340,6,6
economy,HUN,*,B_OFFICIAL_DETERMINISTIC,6,108351916395.7142633,6,6
economy,IRL,*,A_OFFICIAL_EXACT,6,45975743783.0576001,6,6
economy,IRL,*,B_OFFICIAL_DETERMINISTIC,6,57768603844.6584357,6,6
economy,IRQ,*,A_OFFICIAL_EXACT,6,73519098471.1548814,6,6
economy,IRQ,*,B_OFFICIAL_DETERMINISTIC,6,174319466565.4143500,6,6
economy,ISL,*,A_OFFICIAL_EXACT,6,4594423967.79785114,6,6
economy,ISL,*,B_OFFICIAL_DETERMINISTIC,6,5694061628.34538619,6,6
economy,ISR,*,A_OFFICIAL_EXACT,6,78339776086.6008591,6,6
economy,ISR,*,B_OFFICIAL_DETERMINISTIC,6,107758616847.6046656,6,6
economy,ITA,*,A_OFFICIAL_EXACT,6,583502975437.254433,6,6
economy,ITA,*,B_OFFICIAL_DETERMINISTIC,6,849727566412.898108,6,6
economy,JPN,*,A_OFFICIAL_EXACT,6,865342405758.268214,6,6
economy,JPN,*,B_OFFICIAL_DETERMINISTIC,6,1900650164232.188617,6,6
economy,KEN,*,A_OFFICIAL_EXACT,6,77211959998.5875904,6,6
economy,KEN,*,B_OFFICIAL_DETERMINISTIC,6,124943432400.1188014,6,6
economy,KGZ,*,A_OFFICIAL_EXACT,6,11947727058.60127017,6,6
economy,KGZ,*,B_OFFICIAL_DETERMINISTIC,6,17251277426.41882544,6,6
economy,KOR,*,A_OFFICIAL_EXACT,6,318628462689.841050,6,6
economy,KOR,*,B_OFFICIAL_DETERMINISTIC,6,726079585420.762188,6,6
economy,LTU,*,A_OFFICIAL_EXACT,6,24118340290.3877730,6,6
economy,LTU,*,B_OFFICIAL_DETERMINISTIC,6,41199155715.29579004,6,6
economy,LUX,*,A_OFFICIAL_EXACT,6,9450610818.68111935,6,6
economy,LUX,*,B_OFFICIAL_DETERMINISTIC,6,14738220325.13586854,6,6
economy,LVA,*,A_OFFICIAL_EXACT,6,11757529649.2182306,6,6
economy,LVA,*,B_OFFICIAL_DETERMINISTIC,6,22666242593.9857037,6,6
economy,MEX,*,A_OFFICIAL_EXACT,6,728557703141.263310,6,6
economy,MEX,*,B_OFFICIAL_DETERMINISTIC,6,931030655560.973659,6,6
economy,MLT,*,A_OFFICIAL_EXACT,6,4130916886.92287804,6,6
economy,MLT,*,B_OFFICIAL_DETERMINISTIC,6,6672155701.25571543,6,6
economy,MNE,*,A_OFFICIAL_EXACT,6,4663812554.09076496,6,6
economy,MNE,*,B_OFFICIAL_DETERMINISTIC,6,5490846985.41826024,6,6
economy,MNG,*,A_OFFICIAL_EXACT,6,8515004336.71168290,6,6
economy,MNG,*,B_OFFICIAL_DETERMINISTIC,6,15170266766.11652373,6,6
economy,MSR,*,A_OFFICIAL_EXACT,6,32838271.62682294432,6,6
economy,MSR,*,B_OFFICIAL_DETERMINISTIC,6,60875674.7707580558,6,6
economy,MYS,*,A_OFFICIAL_EXACT,6,291835363205.314921,6,6
economy,MYS,*,B_OFFICIAL_DETERMINISTIC,6,339330506594.2067566,6,6
economy,NLD,*,A_OFFICIAL_EXACT,6,174123201933.205152,6,6
economy,NLD,*,B_OFFICIAL_DETERMINISTIC,6,250433029688.3485371,6,6
economy,NOR,*,A_OFFICIAL_EXACT,6,56821359916.4839490,6,6
economy,NOR,*,B_OFFICIAL_DETERMINISTIC,6,88744382975.34441583,6,6
economy,NZL,*,A_OFFICIAL_EXACT,6,52356866866.9220216,6,6
economy,NZL,*,B_OFFICIAL_DETERMINISTIC,6,72208470008.6790500,6,6
economy,PHL,*,A_OFFICIAL_EXACT,6,274628147940.4872562,6,6
economy,PHL,*,B_OFFICIAL_DETERMINISTIC,6,416504238943.2824079,6,6
economy,POL,*,A_OFFICIAL_EXACT,6,250262384361.626420,6,6
economy,POL,*,B_OFFICIAL_DETERMINISTIC,6,618878139094.666419,6,6
economy,PRT,*,A_OFFICIAL_EXACT,6,97603590679.3423288,6,6
economy,PRT,*,B_OFFICIAL_DETERMINISTIC,6,129897466024.6431709,6,6
economy,ROU,*,A_OFFICIAL_EXACT,6,151074490094.307862,6,6
economy,ROU,*,B_OFFICIAL_DETERMINISTIC,6,257028365580.224885,6,6
economy,SRB,*,A_OFFICIAL_EXACT,6,28384986613.1563405,6,6
economy,SRB,*,B_OFFICIAL_DETERMINISTIC,6,66180801124.1990945,6,6
