reference_period,release_date,source_url,raw_file
2024-11,2024-12-18,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1733007600000&type=listMonth,release_calendar_2024-12.html
2024-12,2025-01-17,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1735686000000&type=listMonth,release_calendar_2025-01.html
2025-01,2025-02-24,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1738364400000&type=listMonth,release_calendar_2025-02.html
2025-02,2025-03-19,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1740783600000&type=listMonth,release_calendar_2025-03.html
2025-03,2025-04-16,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1743458400000&type=listMonth,release_calendar_2025-04.html
2025-04,2025-05-19,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1746050400000&type=listMonth,release_calendar_2025-05.html
2025-05,2025-06-18,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1748728800000&type=listMonth,release_calendar_2025-06.html
2025-06,2025-07-17,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1751320800000&type=listMonth,release_calendar_2025-07.html
2025-07,2025-08-20,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1753999200000&type=listMonth,release_calendar_2025-08.html
2025-08,2025-09-17,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1756677600000&type=listMonth,release_calendar_2025-09.html
2025-09,2025-10-17,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1759269600000&type=listMonth,release_calendar_2025-10.html
2025-10,2025-11-19,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1761951600000&type=listMonth,release_calendar_2025-11.html
2025-11,2025-12-17,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1764543600000&type=listMonth,release_calendar_2025-12.html
2025-12,2026-01-19,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1767222000000&type=listMonth,release_calendar_2026-01.html
